Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs,Pressure (psi),Temperature (°C),Flow Rate (barrels/day),Vibration Level (mm/s),Corrosion Level (mm/year),Last Maintenance Date,Авария
20100150,15205,2010,2010-01-11 14:30:00,32296,TARGA RESOURCES OPERATING LP,N-4 LINE (NORMAL BUTANE),ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NORMAL BUTANE,LAKE CHARLES,CALCASIEU,LA,30.25989,-93.20991,NATURAL FORCE DAMAGE,TEMPERATURE,2237.0,25.0,0.0,2237.0,NO,NO,YES,1/11/2010 14:45,1/15/2010 15:00,0.0,,,,,,,,,,,,,29360.0,136233.0,,,,,165593,801.0,45.0,118953.0,2.1,0.3,2025-02-10,1.0
20100262,15399,2010,2010-01-11 14:47:00,31454,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,TAFT,SAN PATRICO,TX,28.05529,-97.32797,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.0,0.0,3.0,0.0,NO,NO,YES,1/11/2010 14:55,1/11/2010 22:08,0.0,,,,,,,,,,,,,30000.0,415.0,10000.0,7971.0,308883.0,0.0,357269,1017.0,73.0,77065.0,2.8,1.0,2024-01-09,1.0
20100234,18134,2010,2010-01-11 15:00:00,9175,JAYHAWK PIPELINE LLC,CHASE KAW TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,CHASE,RICE,KS,38.34519,-98.31356,CORROSION,INTERNAL,2.0,,1.0,1.0,NO,NO,YES,1/11/2010 15:10,1/13/2010 14:00,,,,,,,,,,,,,,2000.0,150.0,0.0,3000.0,6500.0,500.0,12150,1070.0,47.0,80397.0,1.4,0.4,2022-11-28,1.0
20100026,17874,2010,2010-01-11 23:00:00,31684,CONOCOPHILLIPS,TANK 824,ONSHORE,TANK,CRUDE OIL,,,CUSHING,PAYNE,OK,35.94466,-96.75427,NATURAL FORCE DAMAGE,TEMPERATURE,53.0,0.0,51.0,2.0,NO,NO,NO,,,,,,,,,,,,,,,,5000.0,150.0,0.0,0.0,100.0,32600.0,37850,1095.0,60.0,63247.0,2.5,0.9,2023-03-31,1.0
20100106,17751,2010,2010-01-12 10:25:00,26085,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CUSHING,LINCOLN,OK,35.93749,-96.74417,CORROSION,INTERNAL,21.0,0.0,21.0,0.0,NO,NO,YES,1/12/2010 10:25,1/14/2010 10:25,0.0,,,,,,,,,,,,,6826.0,150.0,0.0,13357.0,0.0,0.0,20333,1079.0,65.0,103704.0,1.6,1.0,2024-09-16,1.0
20100082,17824,2010,2010-01-12 14:30:00,32080,"CCPS TRANSPORTATION, LLC","CCPS TRANSPORTATION, RUSH STATION",ONSHORE,ABOVEGROUND,CRUDE OIL,,,RUSHVILLE,SCHUYLER,IL,40.16833,-90.56593,INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0.0,0.19,0.0,NO,NO,NO,,,,,,,,,,,,,,,,2500.0,0.0,0.0,30000.0,0.0,0.0,32500,840.0,68.0,91214.0,1.3,0.3,2025-01-12,1.0
20100037,18592,2010,2010-01-12 19:08:00,12105,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,PAWNEE,PAWNEE,OK,36.39836,-96.74622,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445.0,5.0,0.0,445.0,NO,NO,YES,1/12/2010 19:08,1/20/2010 14:34,19.0,,,,,,,,,,,,,175000.0,34000.0,68000.0,324000.0,1901615.0,15000.0,2517615,808.0,63.0,102592.0,1.4,0.3,2024-01-19,1.0
20100025,17505,2010,2010-01-13 07:36:00,31174,"SHELL PIPELINE CO., L.P.",SORRENTO DOME,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,SORRENTO,ASCENSION,LA,30.1724,-90.782,NATURAL FORCE DAMAGE,TEMPERATURE,3.49,0.0,0.0,3.49,NO,NO,NO,,,0.0,,,,,,,,,,,,,0.0,254.0,0.0,0.0,0.0,0.0,254,938.0,56.0,73159.0,2.5,1.2,2023-12-25,1.0
20110071,18051,2010,2010-01-13 13:30:00,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,6.0,0.0,6.0,0.0,NO,NO,NO,,,,,,,,,,,,,,,,0.0,504.0,0.0,0.0,30000.0,0.0,30504,1060.0,78.0,104505.0,1.2,1.3,2022-06-27,1.0
20100100,17975,2010,2010-01-13 15:30:00,22855,"KOCH PIPELINE COMPANY, L.P.",PARK RAPIDS PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,MENAHGA,HUBBARD,MN,46.8197,-95.1489,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,0.0,0.0,0.48,NO,NO,NO,,,0.0,,,,,,,,,,,,,0.0,34.0,0.0,0.0,64645.0,2000.0,66679,1067.0,73.0,92256.0,1.1,0.7,2024-05-12,1.0
20100057,17557,2010,2010-01-14 13:15:00,10250,KIANTONE PIPELINE CORP,GOWANDA BOOSTER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,GOWANDA,CATTARAUGUS,NY,42.38229,-78.91763,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,,0.2,0.04,NO,NO,NO,,,,,,,,,,,,,,,,5000.0,17.0,0.0,50000.0,20000.0,0.0,75017,1015.0,76.0,103335.0,1.5,1.0,2023-05-06,1.0
20110083,17836,2010,2010-01-15 07:05:00,31325,PACIFIC PIPELINE SYSTEM LLC,LINE 63 SOUTH PACIFIC PIPELINES BP REFINERY TANK F,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CARSON,LOS ANGELES,CA,33.80933,-118.25413,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1.0,0.0,1.0,0.0,NO,NO,NO,,,,,,,,,,,,,,,,0.0,75000.0,0.0,1000000.0,3500000.0,0.0,4575000,1026.0,76.0,48110.0,2.4,1.2,2023-03-16,1.0
20100231,15700,2010,2010-01-15 15:00:00,9175,JAYHAWK PIPELINE LLC,,ONSHORE,UNDERGROUND,CRUDE OIL,,,ELLIS,ELLIS,KS,38.81386,-99.42139,CORROSION,INTERNAL,5.0,,2.0,3.0,NO,NO,YES,1/15/2010 15:10,1/16/2010 11:00,,,,,,,,,,,,,,0.0,180.0,700.0,0.0,1500.0,1500.0,3880,1017.0,53.0,40206.0,1.9,0.3,2022-07-07,1.0
20100071,17807,2010,2010-01-18 10:00:00,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2.0,0.0,0.0,2.0,NO,NO,NO,,,,,,,,,,,,,,,,1000.0,100.0,0.0,0.0,0.0,0.0,1100,978.0,71.0,94268.0,2.0,1.4,2025-01-20,1.0
20100031,17419,2010,2010-01-19 13:10:00,22610,"MAGELLAN PIPELINE COMPANY, LP",AURORA PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OTHER,JET FUEL,AURORA,ADAMS COUNTY,CO,39.0081,-104.01317,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.79,,0.9,0.89,NO,NO,NO,,,,,,,,,,,,,,,,3500.0,500.0,0.0,10000.0,12000.0,0.0,26000,1030.0,54.0,73827.0,2.9,1.0,2023-01-23,1.0
20100087,18354,2010,2010-01-19 20:00:00,4805,EXPLORER PIPELINE CO,WOOD RIVER TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,HARTFORD,MADISON,IL,38.82204,-90.07892,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,0.0,2.0,1.0,NO,NO,YES,1/19/2010 20:01,1/20/2010 9:30,0.0,,,,,,,,,,,,,41000.0,85.0,0.0,5100.0,0.0,0.0,46185,1042.0,61.0,62299.0,2.9,1.3,2024-05-20,1.0
20100091,17835,2010,2010-01-21 09:30:00,31325,PACIFIC PIPELINE SYSTEM LLC,NORTH COLES LEVEE,ONSHORE,TANK,CRUDE OIL,,,TAFT,KERN,CA,35.27901,-119.31192,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.0,0.0,2.0,0.0,NO,NO,NO,,,,,,,,,,,,,,,,1200.0,150.0,0.0,2000.0,4457.0,0.0,7807,933.0,67.0,109163.0,1.8,1.4,2024-05-16,1.0
20100177,15873,2010,2010-01-21 12:30:00,15674,PLANTATION PIPE LINE CO,FLUKER STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GREENSBURG,ST. HELENA,LA,30.78251,-90.75851,NATURAL FORCE DAMAGE,TEMPERATURE,6.76,,6.76,0.0,NO,NO,YES,1/21/2010 12:30,1/21/2010 20:35,,,,,,,,,,,,,,85000.0,570.0,0.0,105000.0,10000.0,0.0,200570,927.0,67.0,61976.0,1.6,0.4,2023-03-31,1.0
20100257,17800,2010,2010-01-21 18:43:00,15674,PLANTATION PIPE LINE CO,KOLA PUMPING STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,COLLINS,COVINGTON,MS,31.63251,-89.52266,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0.0,0.71,0.0,NO,NO,,,,,,,,,,,,,,,,,2130.0,0.0,0.0,670.0,0.0,0.0,2800,1082.0,52.0,95016.0,1.6,0.5,2022-10-02,1.0
20120021,17357,2010,2010-01-22 12:05:00,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,EL DORADO STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,EL DORADO,BUTLER COUNTY,KS,37.803255,-96.873398,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.2,0.0,1.2,0.0,NO,NO,NO,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,3623.0,3263.0,1981.0,8867,936.0,76.0,53545.0,1.7,1.4,2022-09-18,1.0
20100072,17806,2010,2010-01-24 12:30:00,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,PRINCETON,GIBSON,IN,38.32113,-87.34782,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,0.0,0.0,1.0,NO,NO,NO,,,,,,,,,,,,,,,,2000.0,100.0,0.0,0.0,0.0,0.0,2100,959.0,71.0,108840.0,1.8,0.4,2023-10-08,1.0
20100017,20768,2010,2010-01-25 11:07:00,11733,LOOP INC,LOOP LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CUT OFF,LAFOURCHE,LA,29.47,-90.25444,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,202.0,0.0,202.0,0.0,NO,NO,YES,1/25/2010 23:42,1/27/2010 14:00,0.0,,,,,,,,,,,,,30000.0,0.0,0.0,600000.0,37000.0,0.0,667000,851.0,51.0,92733.0,2.4,1.2,2024-08-14,1.0
20100018,17492,2010,2010-01-27 15:30:00,31174,"SHELL PIPELINE CO., L.P.",PORT ARTHUR TK FM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,PORT ARTHUR,JEFFERSON,TX,29.8916,-93.9897,ALL OTHER CAUSES,MISCELLANEOUS,0.6,0.0,0.0,0.6,NO,NO,NO,,,,,,,,,,,,,,,,50000.0,65.0,0.0,10000.0,0.0,0.0,60065,900.0,56.0,66736.0,3.0,0.8,2024-07-03,1.0
20100084,17313,2010,2010-01-28 11:00:00,1248,BELLE FOURCHE PIPELINE CO,DICKINSON GATHERING,ONSHORE,ABOVEGROUND,CRUDE OIL,,,DICKINSON,STARK,ND,46.851256,-102.770368,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,20.0,,13.0,7.0,NO,NO,YES,1/28/2010 11:05,1/28/2010 18:00,0.0,,,,,,,,,,,,,500.0,420.0,0.0,750.0,9500.0,0.0,11170,1023.0,72.0,95680.0,1.5,0.5,2023-07-09,1.0
20110376,17761,2010,2010-02-02 08:00:00,31476,SEMGROUP LP,FLEMING STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,HARPER,HARPER,KS,37.355914,-98.206945,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15.0,0.0,10.0,5.0,NO,NO,,,,0.0,,,,,,,,,,,,,3000.0,500.0,0.0,2000.0,1000.0,0.0,6500,971.0,65.0,66309.0,1.5,1.1,2024-09-19,1.0
20100244,17856,2010,2010-02-04 15:10:00,22430,WEST SHORE PIPELINE CO,MITCHELL FIELD TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,MILWAUKEE,MILWAUKEE,WI,42.9289,-87.8884,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.19,0.05,NO,NO,,,,,,,,,,,,,,,,,2500.0,35.0,0.0,0.0,1986.0,0.0,4521,1002.0,56.0,65342.0,2.6,0.9,2023-12-05,1.0
20100032,17394,2010,2010-02-06 11:30:00,22610,"MAGELLAN PIPELINE COMPANY, LP",EL DORADO WEST STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,EL DORADO,BUTLER,KS,37.80218,-96.90935,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,0.0,1.67,1.33,NO,NO,,,,,,,,,,,,,,,,,100.0,200.0,0.0,3000.0,1500.0,0.0,4800,897.0,45.0,74698.0,2.6,1.3,2022-03-14,1.0
20100233,18026,2010,2010-02-08 12:20:00,31174,"SHELL PIPELINE CO., L.P.",ERATH - EAST HOUSTON CRUDE,ONSHORE,UNDERGROUND,CRUDE OIL,,,LAKE ARTHUR,JEFFERSON DAVIS,LA,30.0795,-92.7465,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5.0,0.0,0.0,5.0,NO,NO,YES,2/8/2010 12:21,2/10/2010 10:23,0.0,,,,,,,,,,,,,230000.0,400.0,30000.0,120000.0,0.0,0.0,380400,1000.0,45.0,91663.0,1.1,1.0,2024-03-11,1.0
20100256,17808,2010,2010-02-09 10:00:00,15674,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,BATON ROUGE,EAST BATON ROUGE,LA,30.54741,-90.16677,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0.0,0.64,0.0,NO,NO,,,,,,,,,,,,,,,,,500.0,0.0,0.0,450.0,0.0,0.0,950,946.0,59.0,42911.0,1.2,1.4,2024-08-05,1.0
20100253,17861,2010,2010-02-09 15:25:00,1845,"BUCKEYE PARTNERS, LP",CLERMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,LINCOLN,HENDRICKS,IN,39.8106,-86.3342,NATURAL FORCE DAMAGE,TEMPERATURE,0.71,0.0,0.71,0.0,NO,NO,NO,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2314.0,3063.0,0.0,5377,927.0,78.0,51111.0,1.3,0.7,2023-12-01,1.0
20100001,15751,2010,2010-02-16 07:42:00,22610,"MAGELLAN PIPELINE COMPANY, LP",WAYNE JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,WAYNE,DUPAGE,IL,41.94352,-88.23353,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0.0,0.12,0.0,NO,NO,NO,,,,,,,,,,,,,,,,25900.0,15.0,0.0,1500.0,1900.0,1200.0,30515,950.0,70.0,100713.0,1.5,1.1,2022-04-27,1.0
20100036,17417,2010,2010-02-17 17:45:00,22610,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY PUMP STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,KANSAS CITY,WYANDOTTE,KS,39.13776,-94.5968,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,,0.12,0.0,NO,NO,NO,,,,,,,,,,,,,,,,1000.0,14.0,0.0,0.0,500.0,0.0,1514,911.0,41.0,71616.0,1.2,1.4,2023-01-05,1.0
20100004,19086,2010,2010-02-19 06:50:00,1845,"BUCKEYE PARTNERS, LP",LINDEN STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,LINDEN,UNION,NJ,40.6086,-74.2399,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.95,,0.95,0.0,NO,NO,YES,2/19/2010 6:52,2/19/2010 13:52,,,,,,,,,,,,,,0.0,0.0,0.0,4400.0,12700.0,0.0,17100,836.0,71.0,101434.0,1.4,0.6,2023-11-01,1.0
20100009,17618,2010,2010-02-20 06:30:00,18718,SUNOCO PIPELINE L.P.,THOMAS STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,LONGVIEW,GREGG,TX,32.4785,-94.8679,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,8.0,0.0,6.0,2.0,NO,NO,YES,2/20/2010 6:35,2/20/2010 23:30,0.0,,,,,,,,,,,,,3449.0,152.0,0.0,5634.0,84278.0,0.0,93513,946.0,55.0,106690.0,2.7,0.8,2025-01-09,1.0
20100005,17663,2010,2010-02-21 12:45:00,300,"PLAINS PIPELINE, L.P.",D-BOOSTER 10-INCH,ONSHORE,UNDERGROUND,CRUDE OIL,,,MCCAMEY,UPTON,TX,31.13284,-101.18974,CORROSION,INTERNAL,9.0,0.0,9.0,0.0,NO,NO,NO,,,0.0,,,,,,,,,,,,,700.0,585.0,0.0,600.0,11000.0,4600.0,17485,960.0,63.0,69299.0,1.2,0.5,2023-04-14,1.0
